keyword,volume,kd,intent,our_rank,assigned_page,page_type
hurghada,40500,34,Informational,not ranking,/wycieczki-z-hurghady/,destination
egipt hurghada,12100,39,Informational,not ranking,/wycieczki-z-hurghady/,destination
el gouna,4400,18,Informational,not ranking,BLOG,blog
hurghada egipt,2900,37,Informational,not ranking,/wycieczki-z-hurghady/,destination
wycieczki egipt,2900,35,Informational,not ranking,/,home
egipt wycieczki,2900,35,Informational,not ranking,/,home
hurghada temperatura,2900,28,Informational,not ranking,/wycieczki-z-hurghady/,destination
makadi bay,2400,16,Informational,not ranking,BLOG,blog
orange bay,2400,9,Informational,#46,/wycieczki-z-hurghady/orange-bay/,tour
egipt piramidy,1900,25,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
el gouna egipt,1900,24,Informational,not ranking,BLOG,blog
piramidy w egipcie,1900,23,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
hurghada wycieczki,1900,10,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
piramide egipt,1600,27,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
hurghada grand aquarium,1600,8,Informational,not ranking,/wycieczki-z-hurghady/wielkie-akwarium/,tour
marsa alam wycieczki fakultatywne,1600,3,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
temperatura hurghada,1300,26,Informational,not ranking,/wycieczki-z-hurghady/,destination
sahl hasheesh hurghada,1300,24,Informational,not ranking,/wycieczki-z-hurghady/,destination
marsa alam atrakcje,1300,18,Informational,not ranking,/wycieczki/atrakcje-i-rozrywka/,category
el quseir,1300,18,Informational,not ranking,BLOG,blog
hurghada temperatura wody,1300,14,Informational,not ranking,/wycieczki-z-hurghady/,destination
abu dabbab,1300,12,Informational,not ranking,/wycieczki-z-marsa-alam/abu-dabbab/,tour
wycieczki hurghada,1300,10,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
hurghada aquarium,1300,8,Informational,not ranking,/wycieczki-z-hurghady/wielkie-akwarium/,tour
aquarium hurghada,1300,8,Informational,not ranking,/wycieczki-z-hurghady/wielkie-akwarium/,tour
sahl hasheesh,1000,24,Informational,not ranking,BLOG,blog
hurghada atrakcje,1000,19,Informational,not ranking,/wycieczki/atrakcje-i-rozrywka/,category
hurghada mapa,1000,18,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada godzina,1000,15,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
wycieczki marsa alam,1000,9,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
wycieczki z marsa alam,1000,6,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
wycieczki fakultatywne egipt,1000,5,Informational,not ranking,/,home
muzeum egipskie w kairze,880,21,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
soma bay egipt,880,18,Informational,not ranking,BLOG,blog
marsa alam godzina,880,10,"Commercial, Informational",not ranking,/wycieczki-z-marsa-alam/,destination
na co uważać w marsa alam,880,9,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
marsa alam wycieczki,880,8,"Commercial, Informational",not ranking,/wycieczki-z-marsa-alam/,destination
wyspy qulaan,880,8,Informational,not ranking,/wycieczki/rejsy-i-wyspy/,category
paradise island,720,25,Informational,not ranking,/wycieczki-z-hurghady/wyspa-paradise/,tour
hurghada hotels,720,23,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
hotels in hurghada,720,19,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
sharm el sheikh wycieczki fakultatywne,720,10,"Commercial, Informational",not ranking,/wycieczki-z-sharm-el-sheikh/,destination
wycieczki z hurghady,720,10,Informational,not ranking,/wycieczki-z-hurghady/,destination
kair piramidy,720,10,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
hamata,720,9,Informational,not ranking,BLOG,blog
hurghada city center,590,28,Informational,not ranking,/wycieczki-z-hurghady/,destination
temperatura w hurghadzie,590,25,Informational,not ranking,/wycieczki-z-hurghady/,destination
egipt el gouna,590,23,Informational,not ranking,BLOG,blog
hurghada miasto,590,19,Informational,not ranking,/wycieczki-z-hurghady/,destination
egipt luxor,590,17,Informational,not ranking,/wycieczki/luksor/,category
snurkowanie w egipcie,590,5,Informational,not ranking,/wycieczki/nurkowanie/,category
wycieczki fakultatywne hurghada,590,5,Informational,not ranking,/wycieczki-z-hurghady/,destination
egipt wycieczki fakultatywne,590,5,Informational,not ranking,/,home
hurghada kair odległość,590,3,Informational,#19,/wycieczki-z-hurghady/,destination
wycieczki fakultatywne marsa alam,590,2,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
nowy kair,480,32,Informational,not ranking,BLOG,blog
egipt luksor,480,21,"Commercial, Informational",not ranking,/wycieczki/luksor/,category
muzeum w kairze,480,21,Informational,not ranking,BLOG,blog
gdzie są piramidy w egipcie,480,20,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
sataya,480,20,Informational,not ranking,/wycieczki-z-marsa-alam/sataya-dom-delfinow/,tour
hotel hurghada,480,19,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
egipt kair,480,19,Informational,not ranking,BLOG,blog
muzeum kair,480,18,"Commercial, Informational",not ranking,/wycieczki/kair-i-piramidy/,category
hurghada co warto zobaczyć,480,17,Informational,not ranking,/wycieczki-z-hurghady/,destination
rafa koralowa marsa alam,480,15,"Informational, Transactional",not ranking,/wycieczki/nurkowanie/,category
wycieczki sharm el sheikh,480,14,Informational,#63,/wycieczki-z-sharm-el-sheikh/,destination
temperatura wody hurghada,480,14,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
rafa marsa alam,480,13,"Informational, Transactional",not ranking,/wycieczki/nurkowanie/,category
